"1-к квартира, 41 м², 2/10 эт.",3 200 000   ₽,"ул. Батурина, 13Б",https://www.avito.ru/simferopol/kvartiry/1-k_kvartira_41_m_210_et._1823116635,8 934 340-72-17
,,,,
"3-к квартира, 63.5 м², 8/9 эт.",3 750 000   ₽,"ул. 60 лет Октября, 13",https://www.avito.ru/simferopol/kvartiry/3-k_kvartira_63.5_m_89_et._1143327710,8 978 814-39-22
,,,,
"1-к квартира, 36 м², 10/16 эт.",2 750 000   ₽,"ул. Луговая, д. 6ж, корп. 1",https://www.avito.ru/simferopol/kvartiry/1-k_kvartira_36_m_1016_et._1792280903,8 989 169-48-79
,,,,
"1-к квартира, 36 м², 8/9 эт.",2 750 000   ₽,"ул. Балаклавская, д. 73 В",https://www.avito.ru/simferopol/kvartiry/1-k_kvartira_36_m_89_et._1828366203,8 978 7727-98-70
,,,,
"2-к квартира, 51 м², 2/2 эт.",3 800 000   ₽,"ул. Толстого, 24А",https://www.avito.ru/simferopol/kvartiry/2-k_kvartira_51_m_22_et._1339471512,8 918 632-67-88
"2-к квартира, 72 м², 2/5 эт.",5 300 000   ₽,ул Чехова дом 9,https://www.avito.ru/simferopol/kvartiry/2-k_kvartira_72_m_25_et._1529357666,8 978 708-19-81
"1-к квартира, 42 м², 7/8 эт.",2 825 000   ₽,"микрорайон Крымская Роза, жилой комплекс Черника",https://www.avito.ru/simferopol/kvartiry/1-k_kvartira_42_m_78_et._1875467755,8 978 734-01-04
"1-к квартира, 55.4 м², 2/11 эт.",4 687 000   ₽,"ул. Розы Люксембург, д. 27/50",https://www.avito.ru/simferopol/kvartiry/1-k_kvartira_55.4_m_211_et._1797562608,8 978 078-67-55
"3-к квартира, 66.5 м², 4/5 эт.",4 750 000   ₽,Луговая ул.,https://www.avito.ru/simferopol/kvartiry/3-k_kvartira_66.5_m_45_et._1828143977,8 934 340-08-53
"3-к квартира, 73 м², 2/9 эт.",5 500 000   ₽,"ул. 60 лет Октября, 24",https://www.avito.ru/simferopol/kvartiry/3-k_kvartira_73_m_29_et._1801652783,8 918 6300-52-94
"4-к квартира, 144 м², 8/10 эт.",10 600 000   ₽,"ул. Некрасова, 9",https://www.avito.ru/simferopol/kvartiry/4-k_kvartira_144_m_810_et._1104026334,8 978 791-47-97
"1-к квартира, 32 м², 4/5 эт.",2 830 000   ₽,"Кечкеметская ул., 87",https://www.avito.ru/simferopol/kvartiry/1-k_kvartira_32_m_45_et._1011957175,8 978 883-83-98
"3-к квартира, 120 м², 1/5 эт.",11 411 111   ₽,"пр-т Кирова, 12А",https://www.avito.ru/simferopol/kvartiry/3-k_kvartira_120_m_15_et._1833975924,8 978 8377-44-21
"3-к квартира, 75 м², 1/5 эт.",2 350 000   ₽,"Семафорная ул., 3",https://www.avito.ru/simferopol/kvartiry/3-k_kvartira_75_m_15_et._1544422438,8 988 6022-43-26
"3-к квартира, 70.9 м², 4/5 эт.",4 800 000   ₽,"ул. Лексина, 9",https://www.avito.ru/simferopol/kvartiry/3-k_kvartira_70.9_m_45_et._1845732649,8 934 339-99-32
"2-к квартира, 50 м², 1/3 эт.",3 000 000   ₽,"ул. Гоголя, 72/15",https://www.avito.ru/simferopol/kvartiry/2-k_kvartira_50_m_13_et._1810189519,8 988 050-78-67
"3-к квартира, 72 м², 1/5 эт.",8 000 000   ₽,"Николаевская ул., 4",https://www.avito.ru/simferopol/kvartiry/3-k_kvartira_72_m_15_et._1811739763,8 918 041-65-29
"1-к квартира, 37 м², 4/9 эт.",2 350 000   ₽,"ул. Крымской Правды, 61А",https://www.avito.ru/simferopol/kvartiry/1-k_kvartira_37_m_49_et._1650111588,8 978 750-99-09
"1-к квартира, 28 м², 12/16 эт.",2 250 000   ₽,"ул. Бородина/Симеизская, секц. 1",https://www.avito.ru/simferopol/kvartiry/1-k_kvartira_28_m_1216_et._1856121979,8 934 336-45-88
"2-к квартира, 60 м², 9/11 эт.",4 290 000   ₽,"Севастопольская ул., 41Ж",https://www.avito.ru/simferopol/kvartiry/2-k_kvartira_60_m_911_et._1847051796,8 978 132-20-19
"3-к квартира, 78 м², 4/5 эт.",7 000 000   ₽,ул Чехова 8,https://www.avito.ru/simferopol/kvartiry/3-k_kvartira_78_m_45_et._1032387864,8 978 7738-25-72
"1-к квартира, 39 м², 12/14 эт.",4 000 000   ₽,"с. Мирное, ул. Крымской Весны, 1к4",https://www.avito.ru/simferopol/kvartiry/1-k_kvartira_39_m_1214_et._1793115722,8 978 124-89-68
"1-к квартира, 25 м², 9/10 эт.",1 900 000   ₽,"ул. Беспалова/Ялтинская, стр. 2",https://www.avito.ru/simferopol/kvartiry/1-k_kvartira_25_m_910_et._1793005399,8 978 124-89-68
"Своб. планировка, 235.9 м², 15/16 эт.",22 500 000   ₽,"Набережная ул., 75П",https://www.avito.ru/simferopol/kvartiry/svob._planirovka_235.9_m_1516_et._1820856068,8 918 681-05-20
"4-к квартира, 64 м², 1/1 эт.",2 300 000   ₽,"Красноармейская ул., 164/30",https://www.avito.ru/simferopol/kvartiry/4-k_kvartira_64_m_11_et._1781029321,8 978 835-18-01
"1-к квартира, 34 м², 8/12 эт.",2 900 000   ₽,"пр-т Кирова, 39",https://www.avito.ru/simferopol/kvartiry/1-k_kvartira_34_m_812_et._1469577940,8 918 390-48-58
"3-к квартира, 70 м², 7/10 эт.",6 550 000   ₽,"Луговая ул., 6",https://www.avito.ru/simferopol/kvartiry/3-k_kvartira_70_m_710_et._1779782139,8 988 509-33-87
"Студия, 24.2 м², 3/9 эт.",1 850 000   ₽,"ул. Беспалова/Ялтинская, стр. 1",https://www.avito.ru/simferopol/kvartiry/studiya_24.2_m_39_et._1469284313,8 978 2276-95-99
"1-к квартира, 39 м², 12/14 эт.",4 000 000   ₽,"с. Мирное, ул. Крымской Весны, 1к4",https://www.avito.ru/simferopol/kvartiry/1-k_kvartira_39_m_1214_et._1841925781,8 978 2276-95-99
"1-к квартира, 41 м², 10/11 эт.",3 749 000   ₽,"Севастопольская ул., 43",https://www.avito.ru/simferopol/kvartiry/1-k_kvartira_41_m_1011_et._1859006569,8 978 018-03-52
